国名,人数,年月
韓国,779383,2019/1/1
韓国,715804,2019/2/1
韓国,585586,2019/3/1
韓国,566624,2019/4/1
韓国,603394,2019/5/1
韓国,611867,2019/6/1
韓国,561675,2019/7/1
韓国,308730,2019/8/1
韓国,201252,2019/9/1
韓国,197281,2019/10/1
韓国,205042,2019/11/1
韓国,247959,2019/12/1
中国,754421,2019/1/1
中国,723617,2019/2/1
中国,691279,2019/3/1
中国,726132,2019/4/1
中国,756365,2019/5/1
中国,880651,2019/6/1
中国,1050420,2019/7/1
中国,1000639,2019/8/1
中国,819054,2019/9/1
中国,730631,2019/10/1
中国,750951,2019/11/1
中国,710234,2019/12/1
台湾,387498,2019/1/1
台湾,399829,2019/2/1
台湾,402433,2019/3/1
台湾,403467,2019/4/1
台湾,426537,2019/5/1
台湾,461085,2019/6/1
台湾,459216,2019/7/1
台湾,420279,2019/8/1
台湾,376186,2019/9/1
台湾,413701,2019/10/1
台湾,392102,2019/11/1
台湾,348269,2019/12/1
香港,154292,2019/1/1
香港,179324,2019/2/1
香港,171430,2019/3/1
香港,194806,2019/4/1
香港,189007,2019/5/1
香港,209030,2019/6/1
香港,216810,2019/7/1
香港,190260,2019/8/1
香港,155927,2019/9/1
香港,180562,2019/10/1
香港,199702,2019/11/1
香港,249642,2019/12/1
タイ,92649,2019/1/1
タイ,107845,2019/2/1
タイ,147443,2019/3/1
タイ,164817,2019/4/1
タイ,107857,2019/5/1
タイ,62984,2019/6/1
タイ,73202,2019/7/1
タイ,49589,2019/8/1
タイ,62057,2019/9/1
タイ,145333,2019/10/1
タイ,140265,2019/11/1
タイ,164936,2019/12/1
シンガポール,22676,2019/1/1
シンガポール,26102,2019/2/1
シンガポール,43687,2019/3/1
シンガポール,36704,2019/4/1
シンガポール,37650,2019/5/1
シンガポール,47264,2019/6/1
シンガポール,21716,2019/7/1
シンガポール,19698,2019/8/1
シンガポール,29147,2019/9/1
シンガポール,41937,2019/10/1
シンガポール,65295,2019/11/1
シンガポール,100376,2019/12/1
マレーシア,31399,2019/1/1
マレーシア,36660,2019/2/1
マレーシア,50615,2019/3/1
マレーシア,46092,2019/4/1
マレーシア,42629,2019/5/1
マレーシア,30534,2019/6/1
マレーシア,22957,2019/7/1
マレーシア,19827,2019/8/1
マレーシア,28778,2019/9/1
マレーシア,48864,2019/10/1
マレーシア,64987,2019/11/1
マレーシア,78250,2019/12/1
インドネシア,32477,2019/1/1
インドネシア,24622,2019/2/1
インドネシア,39609,2019/3/1
インドネシア,39768,2019/4/1
インドネシア,30107,2019/5/1
インドネシア,49290,2019/6/1
インドネシア,25215,2019/7/1
インドネシア,16160,2019/8/1
インドネシア,25021,2019/9/1
インドネシア,34094,2019/10/1
インドネシア,37213,2019/11/1
インドネシア,59203,2019/12/1
フィリピン,35987,2019/1/1
フィリピン,35170,2019/2/1
フィリピン,48277,2019/3/1
フィリピン,69266,2019/4/1
フィリピン,59578,2019/5/1
フィリピン,46842,2019/6/1
フィリピン,37771,2019/7/1
フィリピン,31470,2019/8/1
フィリピン,37758,2019/9/1
フィリピン,64690,2019/10/1
フィリピン,64763,2019/11/1
フィリピン,81542,2019/12/1
ベトナム,35375,2019/1/1
ベトナム,39377,2019/2/1
ベトナム,47881,2019/3/1
ベトナム,55295,2019/4/1
ベトナム,39900,2019/5/1
ベトナム,35419,2019/6/1
ベトナム,40762,2019/7/1
ベトナム,43709,2019/8/1
ベトナム,38325,2019/9/1
ベトナム,46510,2019/10/1
ベトナム,41892,2019/11/1
ベトナム,30606,2019/12/1
